CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
DY,4545,NORWEGIAN AIR SHUTTLE ASA,2018-12-06T17:10:00,2018-12-06T17:33:00,A,ARN,STOCKHOLM-ARLANDA,שטוקהולם,STOCKHOLM,שבדיה,SWEDEN,3,,,LANDED,נחתה
EZY,5832,EASYJET,2018-12-06T16:50:00,2018-12-06T17:35:00,D,TXL,BERLIN TEGEL,ברלין,BERLIN,גרמניה,GERMANY,1,314-320,W,DEPARTED,המריאה
AA,8394,AMERICAN AIRLINES,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LX,4220,SWISS INT`L  AIRLINES,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LY,348,EL AL ISRAEL AIRLINES,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
TP,8931,AIR PORTUGAL - TAP,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LX,253,SWISS INT`L  AIRLINES,2018-12-06T16:00:00,2018-12-06T17:39:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,45-55,B,DEPARTED,המריאה
AM,7851,AERO MEXICO,2018-12-06T16:15:00,2018-12-06T17:41:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
LY,339,EL AL ISRAEL AIRLINES,2018-12-06T16:15:00,2018-12-06T17:41:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
PC,796,PEGASUS AIRLINES,2018-12-06T15:50:00,2018-12-06T17:43:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,30-33,A,DEPARTED,המריאה
OS,858,AUSTRIAN AIRLINES,2018-12-06T16:10:00,2018-12-06T17:46:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,45-55,B,DEPARTED,המריאה
SN,3290,BRUSSELS AIRLINES,2018-12-06T16:00:00,2018-12-06T17:47:00,D,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,72-75,C,DEPARTED,המריאה
6H,813,ISRAIR AIRLINES,2018-12-06T16:10:00,2018-12-06T17:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,G16-G18,G,DEPARTED,המריאה
BA,164,BRITISH AIRWAYS PLC,2018-12-06T16:40:00,2018-12-06T17:53:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,23-29,A,DEPARTED,המריאה
052,4XWIA,א.י.מ. תעופה בעמ,2018-12-06T18:00:00,2018-12-06T17:55:00,A,CAI,CAIRO INTERNATIONAL,קהיר,CAIRO,מצרים,EGYPT,3,,,LANDED,נחתה
QS,1870,TRAVEL SERVICE,2018-12-06T16:15:00,2018-12-06T17:57:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,4-6,A,DEPARTED,המריאה
SU,508,AEROFLOT RUSSIAN AIRLINES,2018-12-06T17:40:00,2018-12-06T17:58:00,A,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
AM,7877,AERO MEXICO,2018-12-06T17:15:00,2018-12-06T18:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
LY,317,EL AL ISRAEL AIRLINES,2018-12-06T17:15:00,2018-12-06T18:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
AA,8392,AMERICAN AIRLINES,2018-12-06T18:05:00,2018-12-06T18:02:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7872,AEROLINEAS ARGENTINAS S.A.,2018-12-06T18:05:00,2018-12-06T18:02:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,2395,IBERIA,2018-12-06T18:05:00,2018-12-06T18:02:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,396,EL AL ISRAEL AIRLINES,2018-12-06T18:05:00,2018-12-06T18:02:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
TP,8909,AIR PORTUGAL - TAP,2018-12-06T18:05:00,2018-12-06T18:02:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7873,AEROLINEAS ARGENTINAS S.A.,2018-12-06T17:05:00,2018-12-06T18:04:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IB,2396,IBERIA,2018-12-06T17:05:00,2018-12-06T18:04:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,397,EL AL ISRAEL AIRLINES,2018-12-06T17:05:00,2018-12-06T18:04:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
FB,571,BULGARIA  AIR,2018-12-06T18:30:00,2018-12-06T18:06:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
HV,5803,TRANSAVIA,2018-12-06T18:20:00,2018-12-06T18:08:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,387,EL AL ISRAEL AIRLINES,2018-12-06T17:10:00,2018-12-06T18:08:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
AZ,813,ALITALIA,2018-12-06T17:25:00,2018-12-06T18:10:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,7-11,A,DEPARTED,המריאה
LY,5064,EL AL ISRAEL AIRLINES,2018-12-06T17:25:00,2018-12-06T18:12:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LH,687,LUFTHANSA,2018-12-06T16:20:00,2018-12-06T18:13:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,45-55,B,DEPARTED,המריאה
SN,7174,BRUSSELS AIRLINES,2018-12-06T16:20:00,2018-12-06T18:13:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,45-55,B,DEPARTED,המריאה
UA,9123,UNITED AIRLINES,2018-12-06T16:20:00,2018-12-06T18:13:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,45-55,B,DEPARTED,המריאה
EZY,3737,EASYJET,2018-12-06T18:15:00,2018-12-06T18:15:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LH,689,LUFTHANSA,2018-12-06T17:05:00,2018-12-06T18:17:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,45-55,B,DEPARTED,המריאה
SN,7172,BRUSSELS AIRLINES,2018-12-06T17:05:00,2018-12-06T18:17:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,45-55,B,DEPARTED,המריאה
EZY,2085,EASYJET,2018-12-06T18:40:00,2018-12-06T18:19:00,A,LTN,LUTON,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
TO,3309,TRANSAVIA FRANCE,2018-12-06T16:55:00,2018-12-06T18:20:00,D,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,63-66,C,DEPARTED,המריאה
LY,613,EL AL ISRAEL AIRLINES,2018-12-06T16:30:00,2018-12-06T18:22:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
S7,4484,SIBERIA AIRLINES,2018-12-06T16:30:00,2018-12-06T18:22:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
LY,2523,EL AL ISRAEL AIRLINES,2018-12-06T17:10:00,2018-12-06T18:24:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,1,301-310,W,DEPARTED,המריאה
IZ,295,ARKIA  ISRAELI  AIRLINES,2018-12-06T16:50:00,2018-12-06T18:26:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,12-18,A,DEPARTED,המריאה
IB,5683,IBERIA,2018-12-06T15:05:00,2018-12-06T18:29:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,1-3,A,DEPARTED,המריאה
VY,6949,VUELING AIRLINES S.A.,2018-12-06T15:05:00,2018-12-06T18:29:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,1-3,A,DEPARTED,המריאה
LY,351,EL AL ISRAEL AIRLINES,2018-12-06T17:10:00,2018-12-06T18:31:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
AZ,812,ALITALIA,2018-12-06T18:45:00,2018-12-06T18:32:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,2373,EL AL ISRAEL AIRLINES,2018-12-06T17:20:00,2018-12-06T18:33:00,D,SXF,BERLIN -SCHOENEFELD,ברלין,BERLIN,גרמניה,GERMANY,1,301-310,W,DEPARTED,המריאה
LY,561,EL AL ISRAEL AIRLINES,2018-12-06T17:25:00,2018-12-06T18:36:00,D,WAW,WARSAW,וורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
TO,3301,TRANSAVIA FRANCE,2018-12-06T18:20:00,2018-12-06T18:38:00,D,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,30-33,A,DEPARTED,המריאה
EZY,8818,EASYJET,2018-12-06T18:10:00,2018-12-06T18:40:00,D,LGW,LONDON - GATWICK,לונדון,LONDON,בריטניה,UNITED KINGDOM,1,314-320,W,DEPARTED,המריאה
FX,6218,FEDERAL EXPRESS,2018-12-06T18:20:00,2018-12-06T18:42:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,DEPARTED,המריאה
6H,046,ISRAIR AIRLINES,2018-12-06T18:15:00,2018-12-06T18:43:00,A,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,3,,,LANDED,נחתה
LY,571,EL AL ISRAEL AIRLINES,2018-12-06T17:40:00,2018-12-06T18:46:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
PS,797,UKRAINE INTL  AIR,2018-12-06T18:45:00,2018-12-06T18:53:00,A,VIN,VINITSA,ויניצה,VINITSA,אוקראינה,UKRAINE,3,,,LANDED,נחתה
RO,151,TAROM - RUMANIAN AIR TRANSPORT,2018-12-06T19:00:00,2018-12-06T18:56:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
CY,110,CYPRUS AIRWAYS,2018-12-06T19:00:00,2018-12-06T18:59:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,383,EL AL ISRAEL AIRLINES,2018-12-06T17:55:00,2018-12-06T18:59:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8900,AIR PORTUGAL - TAP,2018-12-06T17:55:00,2018-12-06T18:59:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
0B,8950,BLUE AIR TRANSPORT AERIAN,2018-12-06T19:00:00,2018-12-06T18:59:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
AR,7877,AEROLINEAS ARGENTINAS S.A.,2018-12-06T18:00:00,2018-12-06T19:06:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IB,2390,IBERIA,2018-12-06T18:00:00,2018-12-06T19:06:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,391,EL AL ISRAEL AIRLINES,2018-12-06T18:00:00,2018-12-06T19:06:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
TP,8933,AIR PORTUGAL - TAP,2018-12-06T18:00:00,2018-12-06T19:06:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
ST,3235,GERMANIA FLUGGESELLSCHAFT MBH,2018-12-06T17:40:00,2018-12-06T19:08:00,D,HAM,HAMBURG,המבורג,HAMBURG,גרמניה,GERMANY,3,56-58,C,DEPARTED,המריאה
A3,926,AEGEAN  AIRLINES,2018-12-06T19:00:00,2018-12-06T19:10:00,A,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LAU,OMXLS,LAUFER GHI,2018-12-06T19:30:00,2018-12-06T19:11:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
D8,3790,NORWEGIAN AIR SHUTTLE,2018-12-06T19:05:00,2018-12-06T19:13:00,A,CPH,COPENHAGEN KASTRUP,קופנהאגן,COPENHAGEN,דנמרק,DENMARK,3,,,LANDED,נחתה
AF,1621,AIR FRANCE,2018-12-06T18:10:00,2018-12-06T19:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,34-37,B,DEPARTED,המריאה
W6,1559,WIZZAIR,2018-12-06T19:05:00,2018-12-06T19:16:00,A,WAW,WARSAW,וורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
IZ,846,ARKIA  ISRAELI  AIRLINES,2018-12-06T17:25:00,2018-12-06T19:21:00,A,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,3,,,LANDED,נחתה
AC,9617,AIR CANADA,2018-12-06T19:10:00,2018-12-06T19:28:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LH,694,LUFTHANSA,2018-12-06T19:10:00,2018-12-06T19:28:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
MNB,6121,MNG CARGO AIRLINES,2018-12-06T18:40:00,2018-12-06T19:28:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,DEPARTED,המריאה
SN,7167,BRUSSELS AIRLINES,2018-12-06T19:10:00,2018-12-06T19:28:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
UA,9240,UNITED AIRLINES,2018-12-06T19:10:00,2018-12-06T19:28:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,5426,EL AL ISRAEL AIRLINES,2018-12-06T18:55:00,2018-12-06T19:36:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
BBG,431,BLUE BIRD AIRWAYS,2018-12-06T20:10:00,2018-12-06T19:40:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
SU,509,AEROFLOT RUSSIAN AIRLINES,2018-12-06T18:50:00,2018-12-06T19:44:00,D,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,38-41,B,DEPARTED,המריאה
6H,6440,ISRAIR AIRLINES,2018-12-06T18:20:00,2018-12-06T19:44:00,A,HFA,HAIFA,חיפה,HAIFA,ישראל,ISRAEL,3,,,LANDED,נחתה
LY,5490,EL AL ISRAEL AIRLINES,2018-12-06T19:30:00,2018-12-06T19:52:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
MJ,301,MYWAY AIRLINES,2018-12-06T19:45:00,2018-12-06T19:55:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
TK,788,TURKISH AIRLINES,2018-12-06T19:15:00,2018-12-06T19:58:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
DY,4546,NORWEGIAN AIR SHUTTLE ASA,2018-12-06T18:10:00,2018-12-06T20:02:00,D,ARN,STOCKHOLM-ARLANDA,שטוקהולם,STOCKHOLM,שבדיה,SWEDEN,3,59-62,C,DEPARTED,המריאה
HV,5804,TRANSAVIA,2018-12-06T19:20:00,2018-12-06T20:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,28-30,A,DEPARTED,המריאה
EZY,1827,EASYJET,2018-12-06T19:40:00,2018-12-06T20:06:00,A,MAN,MANCHESTER,מנצ'סטר,MANCHESTER,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
EZY,3738,EASYJET,2018-12-06T19:10:00,2018-12-06T20:07:00,D,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,1,314-320,W,DEPARTED,המריאה
J2,021,AZERBAIJAN AIRLINES,2018-12-06T19:25:00,2018-12-06T20:09:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,LANDED,נחתה
LY,2653,EL AL ISRAEL AIRLINES,2018-12-06T18:50:00,2018-12-06T20:10:00,D,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,1,301-310,W,DEPARTED,המריאה
LY,5145,EL AL ISRAEL AIRLINES,2018-12-06T18:40:00,2018-12-06T20:11:00,D,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,70-75,C,DEPARTED,המריאה
AA,8376,AMERICAN AIRLINES,2018-12-06T20:00:00,2018-12-06T20:12:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7852,AERO MEXICO,2018-12-06T20:00:00,2018-12-06T20:12:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,324,EL AL ISRAEL AIRLINES,2018-12-06T20:00:00,2018-12-06T20:12:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
FB,572,BULGARIA  AIR,2018-12-06T19:30:00,2018-12-06T20:14:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,12-14,A,DEPARTED,המריאה
LO,155,LOT POLISH AIRLINES,2018-12-06T20:10:00,2018-12-06T20:15:00,A,WAW,WARSAW,וורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
BBG,441,BLUE BIRD AIRWAYS,2018-12-06T20:15:00,2018-12-06T20:18:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
U6,887,URAL AIR,2018-12-06T19:30:00,2018-12-06T20:24:00,A,LED,ST. PETERSBURG,סט.פטרסבורג,S.PETERSBURG,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
RO,152,TAROM - RUMANIAN AIR TRANSPORT,2018-12-06T20:05:00,2018-12-06T20:27:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,25-27,A,DEPARTED,המריאה
CY,111,CYPRUS AIRWAYS,2018-12-06T19:55:00,2018-12-06T20:29:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,18-20,A,DEPARTED,המריאה
0B,8951,BLUE AIR TRANSPORT AERIAN,2018-12-06T19:55:00,2018-12-06T20:29:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,18-20,A,DEPARTED,המריאה
A3,927,AEGEAN  AIRLINES,2018-12-06T19:50:00,2018-12-06T20:31:00,D,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,15-17,A,DEPARTED,המריאה
W9,4451,WIZZ UK,2018-12-06T21:00:00,2018-12-06T20:31:00,A,LTN,LUTON,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
TK,6342,TURKISH AIRLINES,2018-12-06T18:25:00,2018-12-06T20:33:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
KE,957,KOREAN AIR,2018-12-06T19:55:00,2018-12-06T20:37:00,A,ICN,INCHEON INTL AIRPORT,סיאול,SEOUL,דרום קוריאה,SOUTH KOREA,3,,,LANDED,נחתה
FR,1930,RYANAIR,2018-12-06T20:40:00,2018-12-06T20:39:00,A,POZ,POZNAN,פוזנן,POZNAN,פולין,POLAND,3,,,LANDED,נחתה
A9,1795,GEORGIAN AIRWAYS,2018-12-06T20:40:00,2018-12-06T20:43:00,A,EVN,YEREVAN,ירבאן,YEREVAN,ארמניה,ARMENIA,3,,,LANDED,נחתה
RM,795,AIRCOMPANY ARMENIA,2018-12-06T20:40:00,2018-12-06T20:43:00,A,EVN,YEREVAN,ירבאן,YEREVAN,ארמניה,ARMENIA,3,,,LANDED,נחתה
LY,2432,EL AL ISRAEL AIRLINES,2018-12-06T18:40:00,2018-12-06T20:45:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
W6,2327,WIZZAIR,2018-12-06T20:30:00,2018-12-06T20:48:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
U8,200,TUS AIRWAYS,2018-12-06T21:00:00,2018-12-06T20:52:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,5109,EL AL ISRAEL AIRLINES,2018-12-06T20:00:00,2018-12-06T20:55:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,301-307,W,DEPARTED,המריאה
EZY,2086,EASYJET,2018-12-06T19:35:00,2018-12-06T21:01:00,D,LTN,LUTON,לונדון,LONDON,בריטניה,UNITED KINGDOM,1,314-320,W,DEPARTED,המריאה
AZ,822,ALITALIA,2018-12-06T19:50:00,2018-12-06T21:04:00,D,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,1,321-324,W,DEPARTED,המריאה
6H,455,ISRAIR AIRLINES,2018-12-06T21:05:00,2018-12-06T21:05:00,A,SDV,SDE DOV,שדה דב,SDE DOV,ישראל,ISRAEL,3,,,CANCELED,מבוטלת
BCS,961,EUROPEAN AIR TRANSPORT,2018-12-06T20:15:00,2018-12-06T21:09:00,D,LEJ,LEIPZIG-HALLE,לייפציג,LEIPZIG,גרמניה,GERMANY,3,,,DEPARTED,המריאה
D8,3791,NORWEGIAN AIR SHUTTLE,2018-12-06T20:05:00,2018-12-06T21:12:00,D,CPH,COPENHAGEN KASTRUP,קופנהאגן,COPENHAGEN,דנמרק,DENMARK,3,56-59,C,DEPARTED,המריאה
W6,1560,WIZZAIR,2018-12-06T19:55:00,2018-12-06T21:15:00,D,WAW,WARSAW,וורשה,WARSAW,פולין,POLAND,1,311-313,W,DEPARTED,המריאה
PS,782,UKRAINE INTL  AIR,2018-12-06T20:05:00,2018-12-06T21:18:00,D,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,3,21-24,A,DEPARTED,המריאה
0B,169,BLUE AIR TRANSPORT AERIAN,2018-12-06T21:20:00,2018-12-06T21:19:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
PC,785,PEGASUS AIRLINES,2018-12-06T21:20:00,2018-12-06T21:20:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
AA,8372,AMERICAN AIRLINES,2018-12-06T21:05:00,2018-12-06T21:33:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,316,EL AL ISRAEL AIRLINES,2018-12-06T21:05:00,2018-12-06T21:33:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
TP,8891,AIR PORTUGAL - TAP,2018-12-06T21:05:00,2018-12-06T21:33:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AI,139,AIR INDIA,2018-12-06T20:45:00,2018-12-06T21:39:00,A,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,,,LANDED,נחתה
IZ,742,ARKIA  ISRAELI  AIRLINES,2018-12-06T21:30:00,2018-12-06T21:43:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
A9,699,GEORGIAN AIRWAYS,2018-12-06T21:35:00,2018-12-06T21:45:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
6H,455,ISRAIR AIRLINES,2018-12-06T21:45:00,2018-12-06T21:45:00,D,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,847,ARKIA  ISRAELI  AIRLINES,2018-12-06T19:15:00,2018-12-06T21:46:00,D,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,1,,,DEPARTED,המריאה
UA,954,UNITED AIRLINES,2018-12-06T21:40:00,2018-12-06T21:48:00,A,SFO,SAN FRANCISCO,סן פרנסיסקו,SAN FRANCISCO,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
MJ,302,MYWAY AIRLINES,2018-12-06T21:15:00,2018-12-06T21:53:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,G8-G10,G,DEPARTED,המריאה
TK,864,TURKISH AIRLINES,2018-12-06T21:45:00,2018-12-06T21:55:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
TK,808,TURKISH AIRLINES,2018-12-06T22:10:00,2018-12-06T21:58:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
