CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AEA,1304,AIR EUROPA,2018-12-10T08:00:00,2018-12-10T08:00:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
LH,695,LUFTHANSA,2018-12-10T08:00:00,2018-12-10T08:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,ON TIME,בזמן
LY,551,EL AL ISRAEL AIRLINES,2018-12-10T08:00:00,2018-12-10T08:00:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,ON TIME,בזמן
PC,788,PEGASUS AIRLINES,2018-12-10T08:00:00,2018-12-10T08:00:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,1,,,ON TIME,בזמן
SN,7168,BRUSSELS AIRLINES,2018-12-10T08:00:00,2018-12-10T08:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,ON TIME,בזמן
UA,9287,UNITED AIRLINES,2018-12-10T08:00:00,2018-12-10T08:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,ON TIME,בזמן
AZ,823,ALITALIA,2018-12-10T08:05:00,2018-12-10T08:05:00,A,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
IB,5523,IBERIA,2018-12-10T08:10:00,2018-12-10T08:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,ON TIME,בזמן
VY,7845,VUELING AIRLINES S.A.,2018-12-10T08:10:00,2018-12-10T08:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,ON TIME,בזמן
6H,043,ISRAIR AIRLINES,2018-12-10T08:20:00,2018-12-10T08:20:00,D,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,1,,,ON TIME,בזמן
6H,703,ISRAIR AIRLINES,2018-12-10T08:35:00,2018-12-10T08:35:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,ON TIME,בזמן
A9,696,GEORGIAN AIRWAYS,2018-12-10T08:40:00,2018-12-10T08:40:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,,,ON TIME,בזמן
TK,865,TURKISH AIRLINES,2018-12-10T08:45:00,2018-12-10T08:45:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,ON TIME,בזמן
TK,784,TURKISH AIRLINES,2018-12-10T08:50:00,2018-12-10T08:50:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,NOT FINAL,לא סופי
W6,3985,WIZZAIR,2018-12-10T08:50:00,2018-12-10T08:50:00,A,CRA,CRAIOVA,קראיובה,CRAIOVA,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
W6,4427,WIZZAIR,2018-12-10T08:55:00,2018-12-10T08:55:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
ET,415,ETHIOPIAN AIRLINES,2018-12-10T09:00:00,2018-12-10T09:00:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
IZ,2821,ARKIA  ISRAELI  AIRLINES,2018-12-10T09:00:00,2018-12-10T09:00:00,D,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,1,,,ON TIME,בזמן
LY,323,EL AL ISRAEL AIRLINES,2018-12-10T09:00:00,2018-12-10T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
LY,8805,EL AL ISRAEL AIRLINES,2018-12-10T09:00:00,2018-12-10T09:00:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
6H,571,ISRAIR AIRLINES,2018-12-10T09:00:00,2018-12-10T09:00:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,ON TIME,בזמן
AA,8371,AMERICAN AIRLINES,2018-12-10T09:05:00,2018-12-10T09:05:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
LY,315,EL AL ISRAEL AIRLINES,2018-12-10T09:05:00,2018-12-10T09:05:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
TP,8892,AIR PORTUGAL - TAP,2018-12-10T09:05:00,2018-12-10T09:05:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
AZ,815,ALITALIA,2018-12-10T09:15:00,2018-12-10T09:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,ON TIME,בזמן
IZ,911,ARKIA  ISRAELI  AIRLINES,2018-12-10T09:15:00,2018-12-10T09:15:00,D,STN,LONDON -STANSTED,לונדון,STANSTED,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
U8,201,TUS AIRWAYS,2018-12-10T09:15:00,2018-12-10T09:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
W6,3257,WIZZAIR,2018-12-10T09:25:00,2018-12-10T09:25:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
A3,924,AEGEAN  AIRLINES,2018-12-10T09:30:00,2018-12-10T09:30:00,A,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
UA,084,UNITED AIRLINES,2018-12-10T09:35:00,2018-12-10T09:35:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,007,EL AL ISRAEL AIRLINES,2018-12-10T09:40:00,2018-12-10T09:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
W6,3986,WIZZAIR,2018-12-10T09:40:00,2018-12-10T09:40:00,D,CRA,CRAIOVA,קראיובה,CRAIOVA,רומניה,ROMANIA,1,,,ON TIME,בזמן
IZ,291,ARKIA  ISRAELI  AIRLINES,2018-12-10T09:45:00,2018-12-10T09:45:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,ON TIME,בזמן
USF,RCH18,USA AIR FORCE,2018-12-10T09:45:00,2018-12-10T09:45:00,D,CAI,CAIRO INTERNATIONAL,קהיר,CAIRO,מצרים,EGYPT,3,,,CANCELED,מבוטלת
W6,4428,WIZZAIR,2018-12-10T09:50:00,2018-12-10T09:50:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,1,,,ON TIME,בזמן
0B,169,BLUE AIR TRANSPORT AERIAN,2018-12-10T09:50:00,2018-12-10T09:50:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
W6,7899,WIZZAIR,2018-12-10T10:00:00,2018-12-10T10:00:00,A,DEB,DEBRECEN,דברצן,DEBRECEN,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
6H,343,ISRAIR AIRLINES,2018-12-10T10:00:00,2018-12-10T10:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,ON TIME,בזמן
AC,084,AIR CANADA,2018-12-10T10:15:00,2018-12-10T10:15:00,A,YYZ,TORONTO,טורונטו,TORONTO,קנדה,CANADA,3,,,NOT FINAL,לא סופי
4D,054,AIR SINAI,2018-12-10T10:15:00,2018-12-10T10:15:00,A,CAI,CAIRO INTERNATIONAL,קהיר,CAIRO,מצרים,EGYPT,3,,,NOT FINAL,לא סופי
A3,925,AEGEAN  AIRLINES,2018-12-10T10:20:00,2018-12-10T10:20:00,D,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
RO,155,TAROM - RUMANIAN AIR TRANSPORT,2018-12-10T10:20:00,2018-12-10T10:20:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
TK,785,TURKISH AIRLINES,2018-12-10T10:20:00,2018-12-10T10:20:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,ON TIME,בזמן
W6,2325,WIZZAIR,2018-12-10T10:20:00,2018-12-10T10:20:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
W6,3258,WIZZAIR,2018-12-10T10:20:00,2018-12-10T10:20:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,1,,,ON TIME,בזמן
LO,169,LOT POLISH AIRLINES,2018-12-10T10:25:00,2018-12-10T10:25:00,A,RZE,RZESZOW-JASIONKA,ז'שוב,RZESZOW,פולין,POLAND,3,,,NOT FINAL,לא סופי
W6,2811,WIZZAIR,2018-12-10T10:25:00,2018-12-10T10:25:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
HY,301,UZBEKISTAN AIR,2018-12-10T10:35:00,2018-12-10T10:35:00,A,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,,,NOT FINAL,לא סופי
SU,506,AEROFLOT RUSSIAN AIRLINES,2018-12-10T10:45:00,2018-12-10T10:45:00,A,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
W6,7900,WIZZAIR,2018-12-10T10:50:00,2018-12-10T10:50:00,D,DEB,DEBRECEN,דברצן,DEBRECEN,הונגריה,HUNGARY,1,,,ON TIME,בזמן
0B,170,BLUE AIR TRANSPORT AERIAN,2018-12-10T10:50:00,2018-12-10T10:50:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,ON TIME,בזמן
6H,044,ISRAIR AIRLINES,2018-12-10T10:50:00,2018-12-10T10:50:00,A,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
IZ,611,ARKIA  ISRAELI  AIRLINES,2018-12-10T10:55:00,2018-12-10T10:55:00,D,SEZ,MAHE SEYCHELLES INTL,מאהה,MAHE SEYCHELLES,איי סיישל,SEYCHELLES,3,,,ON TIME,בזמן
4D,055,AIR SINAI,2018-12-10T11:05:00,2018-12-10T11:05:00,D,CAI,CAIRO INTERNATIONAL,קהיר,CAIRO,מצרים,EGYPT,3,,,ON TIME,בזמן
FR,3606,RYANAIR,2018-12-10T11:10:00,2018-12-10T11:10:00,A,FMM,MEMMINGEN,ממינגן,MEMMINGEN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
RO,156,TAROM - RUMANIAN AIR TRANSPORT,2018-12-10T11:10:00,2018-12-10T11:10:00,D,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,ON TIME,בזמן
